id,action,verb,noun
0, take_pan,0,1
1, take_fridge,0,10
2, get_fish,0,100
3, pick-up_chilli,0,101
4, get_cover,0,102
5, get_sugar,0,103
6, take_aubergine,0,104
7, pick-up_jug:measuring,0,105
8, get_leek,0,107
9, pick-up_rubbish,0,108
10, take_ladle,0,109
11, take_lid,0,11
12, take_mushroom,0,110
13, take_stock,0,111
14, pick-up_freezer,0,112
15, take_pizza,0,114
16, pick-up_yoghurt,0,116
17, pick-up_chopstick:fork,0,117
18, pick-up_grape,0,118
19, pick-up_ginger,0,119
20, pick-up_hand,0,12
21, take_banana,0,120
22, take_oregano,0,121
23, pick-up_tuna,0,122
24, pick-up_tabla:kitchen,0,123
25, take_salmon,0,124
26, pick-up_basket,0,125
27, get_moka,0,126
28, pick-up_roll:sesame,0,127
29, pick-up_broom,0,128
30, get_lemon,0,129
31, take_onion,0,13
32, take_clothes,0,130
33, take_grater,0,131
34, pick-up_strainer:mesh,0,132
35, pick-up_bacon,0,133
36, get_avocado,0,134
37, take_blueberry,0,135
38, pick-up_pesto,0,136
39, pick-up_utensil,0,137
40, take_bean:green,0,138
41, grab_floor,0,139
42, get_onion:spring,0,14
43, pick-up_lime,0,140
44, take_foil,0,141
45, grab_grill,0,142
46, take_ingredient,0,143
47, take_scale,0,144
48, get_paste:garlic,0,145
49, get_processor:food,0,146
50, pick-up_nut,0,147
51, grab_butter,0,148
52, pick-up_pot:coffee,0,15
53, take_timer,0,151
54, pull-down_tablecloth,0,153
55, take_powder:curry,0,155
56, take_powder:washing,0,156
57, get_oat,0,158
58, take_tofu,0,159
59, take_glass,0,16
60, take_lighter,0,160
61, pick-up_sweetcorn,0,161
62, get_vinegar,0,162
63, pick-up_cap:sink,0,164
64, pick-up_trivet,0,165
65, pick-up_fraiche,0,166
66, take_tongs,0,168
67, pick_pastry,0,169
68, pick-up_water,0,17
69, pick-up_raisin,0,171
70, pick-up_broccoli,0,173
71, take_pin:rolling,0,174
72, grab_plug,0,175
73, take_bag:tea,0,177
74, take_parsley,0,178
75, take_fork,0,18
76, get_herb,0,180
77, pick-up_base:pizza,0,181
78, take_holder:pot,0,182
79, pick-up_thyme,0,183
80, get_honey,0,184
81, take_celery,0,185
82, get_kiwi,0,186
83, get_tissue,0,187
84, take_clip,0,189
85, take_board:cutting,0,19
86, pick-up_noodle,0,190
87, take_yeast,0,191
88, take_hummus,0,192
89, get_coconut,0,193
90, pick-up_cabbage,0,194
91, pick-up_spinach,0,195
92, pick-up_nutella,0,196
93, take_fruit,0,197
94, take_dressing,0,198
95, pick-up_omelette:rolled,0,199
96, pick-up_dustpan,0,2
97, take_bag:cereal,0,20
98, take_paella,0,201
99, get_opener:can,0,203
100, take_shirt,0,204
101, pick-up_sandwich,0,206
102, pick-up_burger,0,207
103, grab_pancake,0,208
104, take_leftover,0,209
105, take_sponge,0,21
106, pick-up_pestle,0,211
107, take_sock,0,212
108, pick-up_pea,0,213
109, pick-up_apron,0,214
110, grab_juice,0,215
111, take_mesh,0,219
112, take_spatula,0,22
113, take_coriander,0,223
114, pick-up_mocha,0,224
115, take_turmeric,0,227
116, pick-up_pit,0,229
117, take_cup,0,23
118, take_boxer,0,230
119, get_paprika,0,231
120, get_apple,0,234
121, pick-up_ham,0,237
122, get_mayonnaise,0,238
123, take_cookie,0,239
124, take_oil:olive,0,24
125, get_pear,0,240
126, take_berry,0,242
127, get_steak:chop,0,243
128, take_squeezer:lime,0,244
129, grab_phone:mobile,0,248
130, pick-up_shell:egg,0,249
131, take_bin,0,25
132, get_ring:onion,0,251
133, get_cherry,0,252
134, take_cake:rice,0,253
135, get_almond,0,255
136, get_mint,0,256
137, pick-up_flake:chilli,0,257
138, pick-up_nesquik,0,259
139, get_meat,0,26
140, pick-up_blender,0,260
141, pick-up_scrap,0,261
142, pick-up_melon,0,263
143, take_smoothie,0,267
144, pick-up_grass:lemon,0,268
145, pick-up_ketchup,0,269
146, take_potato,0,27
147, take_device:cutting,0,270
148, pick-up_watch,0,273
149, take_beer,0,274
150, take_basil,0,277
151, grab_crisp,0,279
152, take_bottle,0,28
153, take_drink,0,281
154, take_mustard,0,283
155, take_caper,0,284
156, take_sharpener:knife,0,285
157, take_candle,0,286
158, pick-up_control:remote,0,287
159, pick-up_cork,0,289
160, take_container,0,29
161, pick-up_masher,0,291
162, pick-up_envelope:oregano,0,297
163, grab_chocolate,0,298
164, take_tomato,0,30
165, get_syrup:maple,0,301
166, take_bar:cereal,0,302
167, take_salt,0,31
168, pick-up_cumin,0,310
169, take_press:garlic,0,314
170, pick-up_rest,0,318
171, pick-up_tablet:dishwasher,0,319
172, take_rag,0,32
173, take_form,0,322
174, grab_sheet,0,325
175, pick-up_pepper:cayenne,0,326
176, pick-up_waffle,0,327
177, pick-up_pineapple,0,328
178, take_turkey:sliced,0,329
179, pick-up_hole:sink,0,33
180, take_rosemary,0,331
181, take_lead,0,332
182, take_geographic:national,0,333
183, take_gravy,0,335
184, grab_cd,0,338
185, get_casserole,0,340
186, take_tube:tube,0,344
187, take_heart:tomato,0,347
188, pick-up_whisk,0,349
189, pick-up_pasta,0,35
190, take_trouser,0,351
191, take_food,0,37
192, take_kettle,0,38
193, take_box:fruit,0,39
194, take_plate,0,4
195, take_carrot,0,40
196, take_sauce:tomato,0,41
197, take_colander,0,42
198, take_milk:soy,0,43
199, take_rice,0,44
200, take_clove,0,45
201, take_pepper,0,46
202, take_hob,0,47
203, take_dough,0,48
204, get_dishwasher,0,49
205, take_knife,0,5
206, pick-up_egg,0,50
207, take_mozzarella,0,51
208, take_bread,0,52
209, get_runner:table,0,53
210, get_salad,0,54
211, pick-up_cooker:slow,0,57
212, take_coffee,0,58
213, pick_filter,0,59
214, take_bowl,0,6
215, get_jar,0,60
216, take_drainer,0,61
217, pick-up_chicken,0,62
218, take_tray,0,63
219, pick-up_mixture,0,64
220, take_towel:tea,0,65
221, get_towel:paper,0,66
222, take_peach,0,67
223, take_skin:potato,0,68
224, take_courgette,0,69
225, take_spoon,0,7
226, pick-up_liquid:washing,0,70
227, take-up_liquid,0,71
228, take_leaf:basil,0,72
229, take_lettuce,0,73
230, take_leaf:mint,0,74
231, take_cutlery,0,75
232, take_scissors,0,76
233, take_plastic,0,77
234, take_top,0,78
235, grab_spice,0,79
236, take_cupboard,0,8
237, take_tortilla,0,80
238, take_paper:baking,0,81
239, take_olive,0,83
240, take_sausage,0,84
241, get_glove:oven,0,85
242, get_peeler,0,86
243, take_can,0,87
244, take_board:eating,0,88
245, pick-up_mat:sushi,0,89
246, take_drawer,0,9
247, take_vegetable,0,90
248, take_film:cling,0,91
249, take_flour,0,93
250, pick-up_cucumber,0,94
251, take_curry,0,95
252, take_cereal,0,96
253, take_napkin,0,97
254, get_soap,0,98
255, take_squash,0,99
256, fix_cover,100,102
257, fix_paella,100,201
258, spill_rice,101,44
259, pack_box:lunch,102,39
260, bake_bowl,103,6
261, blow-out_candle,104,286
262, blow_roll:kitchen,104,66
263, sit-on_chair,105,205
264, dip_carrot,107,40
265, flush_tap,109,3
266, remove_pan,10,1
267, take-out_fish,10,100
268, remove_cover:plastic,10,102
269, take-out_aubergine,10,104
270, remove_trash,10,108
271, remove_lid,10,11
272, remove_stock,10,111
273, take-off_light,10,113
274, remove_pizza,10,114
275, take-out_yoghurt,10,116
276, take-out_grape,10,118
277, remove_ginger,10,119
278, remove_banana,10,120
279, remove_tuna,10,122
280, take-out_basket,10,125
281, remove_onion,10,13
282, take-out_avocado,10,134
283, take-out_blueberry,10,135
284, remove_bean:green,10,138
285, remove-from_floor,10,139
286, remove_lime,10,140
287, remove_foil,10,141
288, remove_grill,10,142
289, remove_ingredient,10,143
290, pick-out_scale:measuring,10,144
291, take-out_processor,10,146
292, remove_pot:pressure,10,15
293, remove_glass,10,16
294, take-out_corn,10,161
295, remove_cap,10,164
296, remove_cream,10,166
297, remove_content,10,167
298, remove_water,10,17
299, remove_plug,10,175
300, remove_bag:tea,10,177
301, remove_holder:filter,10,182
302, remove_clip,10,189
303, take-out_board:cutting,10,19
304, take-out_noodle:convenient,10,190
305, take-off_spinach,10,195
306, extract_bag,10,20
307, remove_chip,10,202
308, remove_pancake,10,208
309, remove_apron,10,214
310, remove_dust,10,217
311, remove_seed:squash,10,229
312, take-out_mug,10,23
313, take-out_paprika,10,231
314, remove_finger,10,236
315, remove_mayonnaise,10,238
316, take-out_oil,10,24
317, remove_pear,10,240
318, remove_pith,10,250
319, take-out_cherry,10,252
320, take-out_sticker,10,265
321, remove_potato,10,27
322, take-out_dumpling,10,272
323, remove_watch,10,273
324, remove-from_bottle:oil,10,28
325, remove_stopper,10,289
326, remove_container,10,29
327, take-out_tap,10,3
328, remove_tomato,10,30
329, remove_seasoning,10,31
330, remove_label,10,312
331, take-out_rest,10,318
332, remove_band:rubber,10,323
333, remove_straw,10,336
334, remove_ladder,10,341
335, take-out_heart,10,347
336, take-out_food,10,37
337, take-out_box:milk,10,39
338, take-out_plate,10,4
339, remove_bit:carrot,10,40
340, take-out_sauce:fish,10,41
341, remove_colander,10,42
342, take-out_milk,10,43
343, remove_garlic,10,45
344, take-out_pepper,10,46
345, take-out_knife,10,5
346, remove_egg,10,50
347, take-out_cheese,10,51
348, take-out_bread:packing,10,52
349, remove_salad,10,54
350, extract_coffee,10,58
351, remove_filter,10,59
352, take-out_bowl,10,6
353, take-out_jar,10,60
354, get-out_chicken,10,62
355, take-out_tray,10,63
356, remove_mixture,10,64
357, remove_peach,10,67
358, take-off_skin,10,68
359, take-out_courgette,10,69
360, remove_spoon,10,7
361, remove_leaf:lettuce,10,72
362, remove_lettuce,10,73
363, remove_leaf:curry,10,74
364, remove_packaging,10,77
365, remove_top,10,78
366, take-out_tortilla,10,80
367, take-out_sausage,10,84
368, remove_glove,10,85
369, remove_tin,10,87
370, remove_mat,10,88
371, take-out_drawer,10,9
372, remove_film,10,91
373, remove_wrap,10,92
374, pick-out_cucumber,10,94
375, remove_curry:only,10,95
376, fork_potato,111,27
377, swirl_water,112,17
378, stick_mint,113,256
379, pet-down_oregano,114,121
380, realize_sauce:fish,115,41
381, weigh_paste:nut,116,145
382, defoliate_cabbage,117,194
383, tessellate_saucepan,119,1
384, dry_saucepan,11,1
385, dry_carafe,11,105
386, dry_ladle,11,109
387, dry_lid,11,11
388, dry_hand,11,12
389, dry_v60,11,126
390, dry_utensil,11,137
391, dry_floor,11,139
392, dry_lime,11,140
393, dry_grill,11,142
394, dry_pot:small,11,15
395, dry_glass,11,16
396, dry_support,11,165
397, dry_fork,11,18
398, dry_holder:jug,11,182
399, dry_clip:bag,11,189
400, dry_board:chopping,11,19
401, dry_paella,11,201
402, dry_cup,11,23
403, dry_finger,11,236
404, dry_ham,11,237
405, dry_squeezer:lime,11,244
406, dry_container,11,29
407, dry_tomato,11,30
408, dry_holder:spoon,11,318
409, towel_cloth,11,32
410, dry_tupperware,11,39
411, dry_plate,11,4
412, dry_colander,11,42
413, dry_rice,11,44
414, dry_hob,11,47
415, dry_knife,11,5
416, dry_bowl:salad,11,6
417, dry_jar,11,60
418, dry_rack,11,61
419, dry_tray,11,63
420, dry_spoon,11,7
421, dry_cutlery,11,75
422, dry_scissors,11,76
423, dry_side,11,78
424, dry_peeler:potato,11,86
425, unfreeze_corn,120,161
426, unfreeze_water,120,17
427, decide-if_onion,121,13
428, let-out_air,122,315
429, reverse_lid,124,11
430, turn-on_pan,12,1
431, switch-on_cover,12,102
432, start_heat,12,106
433, turn-on_lid,12,11
434, turn-on_light,12,113
435, turn-on_machine:coffee,12,126
436, turn-on_scale,12,144
437, turn-on_processor,12,146
438, turn-on_switch,12,154
439, start_oat,12,158
440, turn-on_water,12,17
441, turn-on_fan:extractor,12,170
442, turn-on_toaster,12,172
443, turn-on_heater,12,276
444, turn-on_candle,12,286
445, turn-on_tap,12,3
446, start-to_tomato,12,30
447, water-on_sink,12,33
448, turn-on_lamp,12,345
449, turn-on_kettle,12,38
450, start_dish,12,4
451, turn-on_hob,12,47
452, turn-on_dishwasher,12,49
453, turn-on_microwave,12,55
454, turn-on_oven,12,56
455, turn-on_cleaner,12,70
456, turn-on_top,12,78
457, turn-on_machine:washing,12,82
458, turn_saucepan,13,1
459, rotate_piece:fish,13,100
460, turn_heat,13,106
461, turn_lid,13,11
462, turn_light,13,113
463, turn_onion,13,13
464, turn_switch,13,154
465, turn_corn,13,161
466, turn_grinder:coffee,13,163
467, turn_trivet,13,165
468, turn_tongs,13,168
469, turn_water,13,17
470, turn_toaster,13,172
471, turn_fork,13,18
472, rotate_holder:filter,13,182
473, turn_board:cutting,13,19
474, turn_knob,13,228
475, turn_ring:onion,13,251
476, turn_meat,13,26
477, turn_potato,13,27
478, turn_tap,13,3
479, turn_handle,13,308
480, turn_cloth,13,32
481, turn_kettle,13,38
482, turn_hob,13,47
483, turn_dishwasher,13,49
484, turn_knife,13,5
485, turn_paneer,13,51
486, turn_bread,13,52
487, turn_table,13,53
488, turn_microwave,13,55
489, rotate_filter,13,59
490, turn_chicken,13,62
491, turn_spoon,13,7
492, turn_top,13,78
493, turn_machine:washing,13,82
494, turn_sausage,13,84
495, turn_mat,13,88
496, turn_drawer,13,9
497, turn_napkin,13,97
498, shake_pan,14,1
499, shake_waste,14,108
500, shake_lid,14,11
501, shake_hand,14,12
502, shake_basket,14,125
503, shake_onion,14,13
504, shake_strainer,14,132
505, shake_pot,14,15
506, shake_tablecloth,14,153
507, shake_oat,14,158
508, shake_glass,14,16
509, shake_sweetcorn,14,161
510, shake_trivet,14,165
511, shake_water,14,17
512, shake_bag,14,20
513, shake_juice,14,215
514, shake_mesh,14,219
515, shake_mug,14,23
516, shake_bottle:oil,14,28
517, shake_container,14,29
518, shake_tomato:chopped,14,30
519, shake_salt,14,31
520, shake_cloth,14,32
521, shake_pasta,14,35
522, shake_saucer,14,4
523, shake_milk:soy,14,43
524, shake_rice,14,44
525, shake_pepper,14,46
526, shake-out_stove,14,47
527, shake_egg,14,50
528, shake_cheese,14,51
529, shake_filter,14,59
530, shake_bowl,14,6
531, shake_jar,14,60
532, shake_chicken,14,62
533, shake_towel:tea,14,65
534, shake_peach,14,67
535, shake_liquid,14,71
536, shake_can,14,87
537, shake_mat,14,88
538, shake_drawer,14,9
539, turn-off_pan,15,1
540, turn-off_heat,15,106
541, turn-off_light,15,113
542, turn-off_maker:coffee,15,126
543, turn-off_system:weighing,15,144
544, turn-off_processor:food,15,146
545, turn-off_pot,15,15
546, turn-off_switch,15,154
547, turn-off_water,15,17
548, turn-off_fan,15,170
549, turn-off_flame,15,179
550, switch-off_knob,15,228
551, switch-off_source:power,15,275
552, turn-off_heater,15,276
553, turn-off_tap,15,3
554, turn-off_alarm,15,306
555, water-off_sink,15,33
556, turn-off_kettle,15,38
557, turn-off_hob,15,47
558, switch-off_microwave,15,55
559, turn-off_oven,15,56
560, turn-off_top,15,78
561, turn-off_machine:washing,15,82
562, peel_lid,16,11
563, peel_ginger,16,119
564, peel_banana,16,120
565, peel_onion,16,13
566, peel_avocado,16,134
567, peel_onion:spring,16,14
568, peel_meat:open,16,26
569, peel_melon,16,263
570, peel_grass:lemon,16,268
571, peel_potato,16,27
572, peel_carrot,16,40
573, peel_garlic,16,45
574, peel_peach,16,67
575, peel_courgette,16,69
576, peel_sausage,16,84
577, peel_squash,16,99
578, change_temperature,17,106
579, adjust_ladle,17,109
580, adjust_light,17,113
581, change_chopstick,17,117
582, adjust_machine:coffee,17,126
583, change_pot,17,15
584, adjust_powder:washing,17,156
585, adjust_level:water,17,17
586, adjust_flame,17,179
587, adjust_fork,17,18
588, adjust_collar:shirt,17,204
589, adjust_chair,17,205
590, adjust_mug,17,23
591, adjust_meat,17,26
592, adjust_tap,17,3
593, adjust_poster,17,320
594, adjust_plate,17,4
595, adjust_hob,17,47
596, adjust_microwave,17,55
597, adjust_cooker,17,56
598, adjust_tray,17,63
599, adjust_top,17,78
600, change_cabinet,17,8
601, adjust_mat:floor,17,88
602, adjust_vegetable,17,90
603, adjust_curry,17,95
604, empty_pan,18,1
605, empty_carafe,18,105
606, empty_v60,18,126
607, empty_pot,18,15
608, empty_glass,18,16
609, empty_water,18,17
610, empty_raisin:more,18,171
611, empty_plug,18,175
612, empty-into_bag,18,20
613, empty_cup:measuring,18,23
614, empty_oil:olive,18,24
615, empty_bottle:milk,18,28
616, empty_sink,18,33
617, empty_kettle,18,38
618, empty_box:lunch,18,39
619, empty_dish,18,4
620, empty_rice,18,44
621, empty_dishwasher,18,49
622, empty_egg,18,50
623, empty_cheese,18,51
624, empty_coffee,18,58
625, empty_filter,18,59
626, empty_bowl,18,6
627, empty_jar,18,60
628, empty_spoon,18,7
629, empty_packet,18,77
630, empty_can,18,87
631, empty_flour,18,93
632, spoon_sugar,19,103
633, spoon_stock,19,111
634, scoop_yoghurt,19,116
635, spoon_oregano,19,121
636, scoop_avocado,19,134
637, spoon_pesto,19,136
638, spoon_paste:miso,19,145
639, spoon_nut,19,147
640, scoop_oat,19,158
641, spoon-in_corn,19,161
642, scoop_water,19,17
643, scoop_tea,19,177
644, scoop_kiwi,19,186
645, scoop_yeast,19,191
646, scoop_patty,19,207
647, spoon_risotto,19,210
648, scoop_eggshell,19,249
649, spoon_almond:canned,19,255
650, spoon-in_cinnamon,19,278
651, spoon_pasta,19,35
652, spoon_food,19,37
653, spoon_carrot,19,40
654, spoon_sauce,19,41
655, spoon_milk:coconut,19,43
656, scoop_rice,19,44
657, spoon_pepper:red,19,46
658, scoop_cheese,19,51
659, spoon_salad:cucumber,19,54
660, spoon_coffee,19,58
661, spoon_bowl,19,6
662, spoon_mixture,19,64
663, spoon_spice,19,79
664, spoon_cucumber,19,94
665, spoon_squash,19,99
666, put-down_pan,1,1
667, put_fridge,1,10
668, put_fish,1,100
669, put_chilli,1,101
670, put_cover,1,102
671, put_sugar,1,103
672, put-down_aubergine,1,104
673, put_jug:measuring,1,105
674, put_piece:leek,1,107
675, put_rubbish,1,108
676, put_ladle,1,109
677, put_lid,1,11
678, put_mushroom,1,110
679, put_stock,1,111
680, put_freezer,1,112
681, put-down_pizza,1,114
682, put_yoghurt,1,116
683, put-down_chopstick,1,117
684, place_grape,1,118
685, put_ginger,1,119
686, place_banana,1,120
687, put-down_oregano,1,121
688, put-down_tuna,1,122
689, put_salmon,1,124
690, place_basket,1,125
691, place_pot:mocha,1,126
692, put_roll:sesame,1,127
693, place_broom,1,128
694, place_lemon,1,129
695, put-down_onion,1,13
696, put_clothes,1,130
697, put-down_grater,1,131
698, put_strainer,1,132
699, put-away_bacon,1,133
700, place_avocado,1,134
701, put_blueberry,1,135
702, put_pesto,1,136
703, put_utensil,1,137
704, put_bean:green,1,138
705, place_onion:spring,1,14
706, put-down_lime,1,140
707, put-down_foil,1,141
708, put-down_grill,1,142
709, put_ingredient,1,143
710, put-down_scale:measuring,1,144
711, put_paste:garlic,1,145
712, place_processor:food,1,146
713, put_nut,1,147
714, put-down_butter,1,148
715, put_pot:coffee,1,15
716, put_shelf,1,150
717, put-down_timer,1,151
718, put_tablecloth,1,153
719, put-down_powder:curry,1,155
720, put_powder:washing,1,156
721, place_oat,1,158
722, put_tofu,1,159
723, put_glass,1,16
724, put-down_lighter,1,160
725, put_corn:sweet,1,161
726, put_vinegar,1,162
727, put_grinder,1,163
728, place-back_cap,1,164
729, put-down_trivet,1,165
730, put_fraiche:creme,1,166
731, put_content,1,167
732, put-down_tongs,1,168
733, put_pastry,1,169
734, put_water,1,17
735, put-away_raisin,1,171
736, put_broccoli,1,173
737, put-down_pin:rolling,1,174
738, put_plug,1,175
739, put_bag:tea,1,177
740, put_parsley,1,178
741, put-down_fork,1,18
742, put_herb,1,180
743, put-down_base,1,181
744, put-down_holder:pot,1,182
745, put_honey,1,184
746, put-down_celery,1,185
747, place_kiwi,1,186
748, put_tissue,1,187
749, put_clip,1,189
750, put-down_board:cutting,1,19
751, put_noodle:instant,1,190
752, put_yeast,1,191
753, put_hummus,1,192
754, put_coconut,1,193
755, put_cabbage,1,194
756, put_spinach,1,195
757, put-down_nutella,1,196
758, put_fruit,1,197
759, put-back_dressing,1,198
760, put_tamagoyaki,1,199
761, put-down_dustpan,1,2
762, put-down_bag,1,20
763, put-down_paella,1,201
764, put_opener:can,1,203
765, put_sandwich,1,206
766, put_burger:chicken,1,207
767, put_pancake,1,208
768, put_food:leftover,1,209
769, put-down_sponge,1,21
770, put-down_pestle,1,211
771, place_pea,1,213
772, put_apron,1,214
773, place_juice,1,215
774, put_dust,1,217
775, put_desk,1,218
776, put_mesh,1,219
777, put-down_spatula,1,22
778, put-down_coriander,1,223
779, put-down_mocha,1,224
780, put_soup,1,226
781, put-down_turmeric,1,227
782, put-down_pit,1,229
783, put_cup,1,23
784, put_paprika,1,231
785, put-up_juicer:lime,1,232
786, put_apple,1,234
787, put_ham,1,237
788, put_mayonnaise,1,238
789, place_cookie,1,239
790, put-down_oil,1,24
791, place_pear,1,240
792, put_berry,1,242
793, put-down_beef,1,243
794, put_squeezer:lime,1,244
795, put_phone:mobile,1,248
796, put_shell:egg,1,249
797, put-down_bin,1,25
798, put_ring:onion,1,251
799, put_cherry,1,252
800, put-down_cake,1,253
801, put_sprout,1,254
802, put_almond,1,255
803, place_mint,1,256
804, put-away_flake:chilli,1,257
805, put_nesquik,1,259
806, put-down_meat,1,26
807, put_blender,1,260
808, put_scrap:pepper,1,261
809, put_melon,1,263
810, put-back_smoothie,1,267
811, put_grass:lemon,1,268
812, return_ketchup,1,269
813, put-down_potato,1,27
814, put_dumpling,1,272
815, put-down_watch,1,273
816, put-down_beer,1,274
817, put_heater:right,1,276
818, put_crisp,1,279
819, put_bottle,1,28
820, put_drink,1,281
821, put-down_caper,1,284
822, put_sharpener:knife,1,285
823, put-down_candle,1,286
824, put-down_control:remote,1,287
825, replace_stopper,1,289
826, put_container,1,29
827, put_masher,1,291
828, place_shaker:pepper,1,294
829, put_garni:bouquet,1,295
830, put_envelope,1,297
831, put_chocolate,1,298
832, place-that_tap,1,3
833, put-down_tomato,1,30
834, place_syrup:maple,1,301
835, put_bar:cereal,1,302
836, put_coke,1,304
837, put-down_salt,1,31
838, put_jeera,1,310
839, place_presser,1,314
840, put_rest,1,318
841, put_tablet,1,319
842, put-down_rag,1,32
843, put_rubber,1,323
844, put-down_rug,1,324
845, put-down_sheet,1,325
846, put-down_waffle,1,327
847, put_pineapple,1,328
